Knife,Skin,RandomPrice
Bayonet,Vanilla,1158
Bayonet,Autotronic,742
Bayonet,Black Laminate,2123
Bayonet,Blue Steel,920
Bayonet,Boreal Forest,556
Bayonet,Bright Water,1403
Bayonet,Case Hardened,496
Bayonet,Crimson Web,2837
Bayonet,Damascus Steel,823
Bayonet,Doppler,2032
Bayonet,Fade,2466
Bayonet,Forest DDPAT,3221
Bayonet,Freehand,4003
Bayonet,Gamma Doppler,756
Bayonet,Lore,2432
Bayonet,Marble Fade,2413
Bayonet,Night,1246
Bayonet,Safari Mesh,674
Bayonet,Scorched,569
Bayonet,Slaughter,566
Bayonet,Stained,1245
Bayonet,Tiger Tooth,844
Bayonet,Ultraviolet,1476
Bayonet,Urban Masked,286
Bowie,Vanilla,572
Bowie,Autotronic,1204
Bowie,Black Laminate,771
Bowie,Blue Steel,1759
Bowie,Boreal Forest,1303
Bowie,Bright Water,2200
Bowie,Case Hardened,725
Bowie,Crimson Web,1089
Bowie,Damascus Steel,2344
Bowie,Doppler,875
Bowie,Fade,340
Bowie,Forest DDPAT,1682
Bowie,Freehand,483
Bowie,Gamma Doppler,1497
Bowie,Lore,512
Bowie,Marble Fade,492
Bowie,Night,356
Bowie,Safari Mesh,1690
Bowie,Scorched,1000
Bowie,Slaughter,562
Bowie,Stained,1141
Bowie,Tiger Tooth,1797
Bowie,Ultraviolet,1841
Bowie,Urban Masked,810
Butterfly,Vanilla,436
Butterfly,Autotronic,1368
Butterfly,Black Laminate,945
Butterfly,Blue Steel,904
Butterfly,Boreal Forest,1161
Butterfly,Bright Water,639
Butterfly,Case Hardened,876
Butterfly,Crimson Web,604
Butterfly,Damascus Steel,667
Butterfly,Doppler,700
Butterfly,Fade,302
Butterfly,Forest DDPAT,442
Butterfly,Freehand,712
Butterfly,Gamma Doppler,2843
Butterfly,Lore,877
Butterfly,Marble Fade,1478
Butterfly,Night,482
Butterfly,Safari Mesh,862
Butterfly,Scorched,2058
Butterfly,Slaughter,859
Butterfly,Stained,1641
Butterfly,Tiger Tooth,560
Butterfly,Ultraviolet,894
Butterfly,Urban Masked,655
Classic,Vanilla,1056
Classic,Blue Steel,1538
Classic,Boreal Forest,981
Classic,Case Hardened,897
Classic,Crimson Web,326
Classic,Fade,922
Classic,Forest DDPAT,1226
Classic,Night Stripe,603
Classic,Safari Mesh,1188
Classic,Scorched,334
Classic,Slaughter,1020
Classic,Stained,588
Classic,Urban Masked,1351
Falchion,Vanilla,733
Falchion,Autotronic,1703
Falchion,Black Laminate,1291
Falchion,Blue Steel,818
Falchion,Boreal Forest,1432
Falchion,Bright Water,342
Falchion,Case Hardened,640
Falchion,Crimson Web,1287
Falchion,Damascus Steel,466
Falchion,Doppler,443
Falchion,Fade,572
Falchion,Forest DDPAT,852
Falchion,Freehand,3186
Falchion,Gamma Doppler,1593
Falchion,Lore,404
Falchion,Marble Fade,552
Falchion,Night,1324
Falchion,Safari Mesh,1206
Falchion,Scorched,882
Falchion,Slaughter,896
Falchion,Stained,1210
Falchion,Tiger Tooth,1739
Falchion,Ultraviolet,927
Falchion,Urban Masked,2496
Flip,Vanilla,2281
Flip,Autotronic,660
Flip,Black Laminate,1681
Flip,Blue Steel,750
Flip,Boreal Forest,775
Flip,Bright Water,1546
Flip,Case Hardened,1393
Flip,Crimson Web,210
Flip,Damascus Steel,942
Flip,Doppler,1482
Flip,Fade,271
Flip,Forest DDPAT,1947
Flip,Freehand,1274
Flip,Gamma Doppler,1912
Flip,Lore,490
Flip,Marble Fade,1408
Flip,Night,1250
Flip,Safari Mesh,756
Flip,Scorched,420
Flip,Slaughter,1151
Flip,Stained,2129
Flip,Tiger Tooth,860
Flip,Ultraviolet,1287
Flip,Urban Masked,283
Gut,Vanilla,1381
Gut,Autotronic,717
Gut,Black Laminate,867
Gut,Blue Steel,515
Gut,Boreal Forest,2939
